Bahasa,Penilaian,Saran,Kategori,Tahun
id,4.0,"tidak saran dari saya, semua sudah cukup baik",Registrar Office,2024
id,3.0,Lebih fast respon di jam kerja.,Registrar Office,2024
id,4.0,Semuanya lebih baik digabungkan menjadi satu untuk melapor,Registrar Office,2024
id,4.0,Menurut saya layanan nya sudah baik,Registrar Office,2024
id,3.0,tidak ada,Registrar Office,2024
id,2.0,-,Registrar Office,2024
id,4.0,Puas karna layanan registrar office mudah dipahami,Registrar Office,2024
id,4.0,Tidak ada,Registrar Office,2024
id,4.0,-,Registrar Office,2024
id,4.0,Sejauh yg saya rasakan layanannya sudah memuaskan,Registrar Office,2024
id,4.0,Sangat bagus dan jelas memberi tahu info,Registrar Office,2024
id,4.0,seru kulaih dsini,Registrar Office,2024
id,4.0,Respon dari pihak registrar tergolong cepat,Registrar Office,2024
id,3.0,-,Registrar Office,2024
id,4.0,sejauh ini baik adanya,Registrar Office,2024
id,3.0,tidak ada,Registrar Office,2024
id,4.0,Sangat Puas,Registrar Office,2024
id,4.0,Sangat bagus,Registrar Office,2024
id,4.0,lebih sigap merespons,Registrar Office,2024
id,4.0,"tidak ada saran dan komentar, RO sangat memperhatikan kekurangan setiap dokumen calon mahasiswa dan memberi respon yang cukup cepat saat dichet melalui whatsapp.",Registrar Office,2024
id,4.0,tidak ada,Registrar Office,2024
id,2.0,tidak ada,Registrar Office,2024
id,3.0,sudah cukup membantu,Registrar Office,2024
id,3.0,Dari saya untuk RO dari pelayanan-pelayanan nya sudah sangat puas dan sigap,Registrar Office,2024
id,3.0,-,Registrar Office,2024
id,3.0,Instruksi yang mungkin lebih jelas dan respon lebih cepat.,Registrar Office,2024
id,3.0,tampilan kurang menarik dan terkadang sulit digunakan,Registrar Office,2024
id,4.0,Sangat bagus,Registrar Office,2024
id,4.0,Untuk kedepannya mohon lebih cepat menanggapi dan lebih jelas,Registrar Office,2024
id,4.0,Sudah berfungsi secara baik,Registrar Office,2024
id,4.0,sudah berfungsi dengan baik,Registrar Office,2024
id,4.0,Tidak ada sudah sangat baik,Registrar Office,2024
id,4.0,pelayanan sangat baik dan memuaskan,Registrar Office,2024
id,3.0,Agar lebih responsif dan lebih ramah disaat mahasiswa menghubungi via telepon.,Registrar Office,2024
id,3.0,"tidak ada, sejauh ini orang-orangnya sangat ramah dalam melayani",Registrar Office,2024
id,2.0,"Ketika bertanya suka dioper ke lantai 12, tapi lantai 12 oper ke lantai 3 Gedung F jadi menimbulkan kebingungan",Registrar Office,2024
id,3.0,Tidak ada sudah baik,Registrar Office,2024
id,3.0,-,Registrar Office,2024
id,4.0,overall good,Registrar Office,2024
id,3.0,dipercepat,Registrar Office,2024
id,4.0,Tidak ada,Registrar Office,2024
id,3.0,Cukup baik,Registrar Office,2024
id,4.0,"tidak ada, sudah bagus",Registrar Office,2024
id,3.0,-,Registrar Office,2024
id,3.0,cukup oke tetapi pembayaran apakah bisa menggunakan virtual account atau semacamnya akrena saya kesulitan untuk memasukan qr kedalam aplikasi pembayaran,Registrar Office,2024
id,1.0,Berikan respon lebih cepat dan lebih jelas,Registrar Office,2024
id,4.0,sudah baik,Registrar Office,2024
id,4.0,Sudah memuaskan dan bagus. Pelayanan yang cepat dan membantu.,Registrar Office,2024
id,4.0,Respon cepat dan jelas,Registrar Office,2024
id,3.0,"Sudah baik, fast respon",Registrar Office,2024
id,4.0,-,Registrar Office,2024
id,3.0,Sampai saat ini sudah bagus,Registrar Office,2024
id,3.0,Sudah baik,Registrar Office,2024
id,2.0,-,Registrar Office,2024
id,4.0,"sudah bagus, terima kasih",Registrar Office,2024
id,4.0,tidak ada sudah cukup bagus,Registrar Office,2024
id,2.0,Registrar office sangat memberi kemudahan dan menjangkau seluruh mahasiswa khusunya bagi mahasiswa pjj ilmu komunikasi yang ada di luar kota maupun luar negri,Registrar Office,2024
id,3.0,-,Registrar Office,2024
id,4.0,-,Registrar Office,2024
id,3.0,-,Registrar Office,2024
id,3.0,Sudah cukup,Registrar Office,2024
id,4.0,sudah sangat baik,Registrar Office,2024
id,4.0,Terimakasih telah membantu saya dalam mengurus berkas-berkas saya,Registrar Office,2024
id,4.0,Sudah sangat baik semoga kedepannya semakin baik dalam pelayanan,Registrar Office,2024
id,3.0,ditingkatkan dan pertahankan,Registrar Office,2024
id,4.0,teruskan,Registrar Office,2024
id,3.0,Di tingkatkan lagi kedepannya supaya semua dapat layanan  yang lebih baik' lagi.,Registrar Office,2024
id,3.0,Tidak ada,Registrar Office,2024
id,3.0,"tidak ada, semuanya baik dan lancar-lancar saja",Registrar Office,2024
id,2.0,"Mohon diperbaiki sistem integrasi uph mobile dengan registrar, seperti contoh untuk meminta transcript perlu di email dulu baru dikirim",Registrar Office,2024
id,4.0,Sejauh ini sangat baik dan memuaskan,Registrar Office,2024
id,3.0,puas dengan paltform yang telah disediakan,Registrar Office,2024
id,4.0,Baik dan sangah ramah ramah,Registrar Office,2024
id,3.0,Cukup baik,Registrar Office,2024
id,3.0,Sudah cukup baik,Registrar Office,2024
id,4.0,Sudah cukup bagus,Registrar Office,2024
id,3.0,lanjutkan,Registrar Office,2024
id,2.0,Nothing.. everything was great!!,Registrar Office,2024
id,4.0,Puas,Registrar Office,2024
id,4.0,"sudah OK, sangat cepat proses nya",Registrar Office,2024
id,3.0,-,Registrar Office,2024
id,4.0,"sejauh saya menggunakan layanan RO, saya merasa bahwa semuanya berjalan dengan baik dan sangat informatif",Registrar Office,2024
id,3.0,Sejauh ini sudah baij,Registrar Office,2024
id,3.0,-,Registrar Office,2024
id,3.0,Dari semua staff atau contac Admin UPH paling cepat Respon dan bagus hanya servicedesk (email) thebest,Registrar Office,2024
id,4.0,sudah baikk,Registrar Office,2024
id,3.0,sudah baik,Registrar Office,2024
id,3.0,-,Registrar Office,2024
id,4.0,-,Registrar Office,2024
id,4.0,-,Registrar Office,2024
id,4.0,Pelayanan sudah sangat baik,Registrar Office,2024
id,4.0,Informatif dan helpful,Registrar Office,2024
id,3.0,Sarannya pelayanan secara online via website bisa lebih ditingkatkan supaya tidak terlalu banyak down,Registrar Office,2024
id,1.0,Kurang cepat,Registrar Office,2024
id,2.0,Bisa dibantu tingkatkan kecepatan dalam merespon email atau hal yang serupa,Registrar Office,2024
id,3.0,-,Registrar Office,2024
id,4.0,Tidak ada,Registrar Office,2024
id,3.0,yes,Registrar Office,2024
id,4.0,good,Registrar Office,2024
id,3.0,000,Registrar Office,2024
id,3.0,Cukup baik,Registrar Office,2024
id,4.0,Aplikasinya sangat membantu,Registrar Office,2024
id,3.0,Lebih simple dalam regulasi pelayanan,Registrar Office,2024
id,2.0,-,Registrar Office,2024
id,1.0,Staffnya kurang ramah,Registrar Office,2024
id,4.0,Permintaan invoice untuk pembayaran kuliah,Registrar Office,2024
id,3.0,Sudah cukup baik menurut saya,Registrar Office,2024
id,2.0,Mohon pengajuan untuk penambahan SEP Points saya diproses agar bisa mengumpulkan SEP Points dengan menginput kegiatan yang telah saya ikuti.,Registrar Office,2024
id,4.0,Pelayanan Registrat Office sangat bagus,Registrar Office,2024
id,3.0,"Untuk pelayanan tolong lebih fastrespon, karena sering tidak bisa dihubungi via telpon dan lama membalas pesan whatsapp",Registrar Office,2024
id,4.0,baik sekali,Registrar Office,2024
id,4.0,Sangat membantu,Registrar Office,2024
id,4.0,Tidak ada,Registrar Office,2024
id,4.0,tidak ada,Registrar Office,2024
id,2.0,Pelayanan baik,Registrar Office,2024
id,3.0,lebih responsif lagi,Registrar Office,2024
id,3.0,Untuk pelayanan sudah bagus serta sangat membantu ketika saya mengalami kesulitan dalam regristasi ke kampus UPH  (mulai dari pembuatan formulir hingga pengiriman documen),Registrar Office,2024
id,4.0,-,Registrar Office,2024
id,4.0,-,Registrar Office,2024
id,4.0,tidak ada,Registrar Office,2024
id,3.0,Sudah Baik,Registrar Office,2024
id,4.0,Sudah sangat baik dan sangat responsif dalam melayani setiap keluhan dan pertanyaan.,Registrar Office,2024
id,3.0,baik,Registrar Office,2024
id,3.0,"Data yang diupload ketika registrasi harus dalam bentuk jpeg/jpg, sehingga menyulitkan ketika akan upload file essay, sebaiknya ke depan bisa juga dlm bentuk word atau pdf.",Registrar Office,2024
id,2.0,tidak ada saran,Registrar Office,2024
id,3.0,..,Registrar Office,2024
id,3.0,"Sejauh ini saya cukup puas dengan pelayanan dalam registrasi, aplikasi cukup mudah untuk dipakai sehingga pendaftaran juga mudah.. mungkin tata pengisian lebih rapih aja kedepannya",Registrar Office,2024
id,3.0,Blm ada :),Registrar Office,2024
id,4.0,-,Registrar Office,2024
id,2.0,Bgus,Registrar Office,2024
id,4.0,Tidak ada,Registrar Office,2024
id,4.0,Sudah sangat baik,Registrar Office,2024
id,3.0,Lebih ramai,Registrar Office,2024
id,3.0,-,Registrar Office,2024
id,3.0,"Memberi layanan dengan baik, sewaktu pendaftaran walaupun online tetap dibantu sebisa mungkin",Registrar Office,2024
id,4.0,Lebih dipercepat lagi untuk proses keluar surat,Registrar Office,2024
id,3.0,Sudah cukup baik.,Registrar Office,2024
id,4.0,pelayanan yang sangat baik,Registrar Office,2024
id,4.0,"Sangat membantu untuk pelayanannya, bintang 5",Registrar Office,2024
id,2.0,Cukup baik,Registrar Office,2024
id,3.0,tidak ada,Registrar Office,2024
id,3.0,untuk respon tolong di percepat,Registrar Office,2024
id,3.0,-,Registrar Office,2024
id,4.0,-,Registrar Office,2024
id,4.0,Tidak ada,Registrar Office,2024
id,3.0,-,Registrar Office,2024
id,3.0,Good,Registrar Office,2024
id,4.0,tingkatkan fast responnya,Registrar Office,2024
id,4.0,-,Registrar Office,2024
id,3.0,baik,Registrar Office,2024
id,4.0,Pelayanan berjalan dengan sistematis dan efektif,Registrar Office,2024
id,2.0,sangat baik,Registrar Office,2024
id,3.0,-,Registrar Office,2024
id,4.0,lebih baik lagi,Registrar Office,2024
id,4.0,-,Registrar Office,2024
id,3.0,-,Registrar Office,2024
id,3.0,Tidak ada,Registrar Office,2024
id,2.0,Pelayanan nya tolong dipercepat,Registrar Office,2024
id,3.0,sudah baik,Registrar Office,2024
id,4.0,Tidak ada saran,Registrar Office,2024
id,4.0,-,Registrar Office,2024
id,3.0,-,Registrar Office,2024
id,4.0,-,Registrar Office,2024
id,3.0,lebih ditingkatkan lagi,Registrar Office,2024
id,4.0,-,Registrar Office,2024
id,4.0,-,Registrar Office,2024
id,3.0,Respon lebih cepat,Registrar Office,2024
id,4.0,Sudah baik dan puas,Registrar Office,2024
id,4.0,"Sudah cukup baik, terima kasih",Registrar Office,2024
id,4.0,-,Registrar Office,2024
id,4.0,Sudah baik,Registrar Office,2024
id,4.0,tidak ada,Registrar Office,2024
id,3.0,Cukup baik,Registrar Office,2024
id,3.0,"tidak ada, sudah sangat baik",Registrar Office,2024
id,3.0,-,Registrar Office,2024
id,4.0,"Sangat ramah dan responsif, dan selalu membantu walaupun dihubungi setelah jam operasional.",Registrar Office,2024
id,3.0,tidak ada,Registrar Office,2024
id,4.0,Tidak ada,Registrar Office,2024
id,3.0,"sangat bagus, informatif seksli buat aku yg pertma kli ngerantau dn gtau apa' ttg uph",Registrar Office,2024
id,3.0,Lebih cepat dalam membalas email.,Registrar Office,2024
id,4.0,-,Registrar Office,2024
id,3.0,-,Registrar Office,2024
id,3.0,Sudah keren,Registrar Office,2024
id,3.0,Belum ada,Registrar Office,2024
id,4.0,Sangat puas,Registrar Office,2024
id,2.0,"sudah baik, mungkin harus dipertahankan dan terus bekermbang",Registrar Office,2024
id,4.0,-,Registrar Office,2024
id,3.0,percepat layanannya,Registrar Office,2024
id,2.0,Tidak ada,Registrar Office,2024
id,4.0,sangat puas dengan pelayanan RO UPH,Registrar Office,2024
id,3.0,-,Registrar Office,2024
id,3.0,-,Registrar Office,2024
id,3.0,So far sudah bagus dan tidak ada kendala,Registrar Office,2024
id,3.0,Lebih ditingkatkan lagi antara komunikasi dengan tamu baik online maupun on-site,Registrar Office,2024
id,2.0,semoga lebih ditingkatkan lagi info info yang ada sehingga terjangkau ke seluruh mahasiswa,Registrar Office,2024
id,3.0,keren,Registrar Office,2024
id,3.0,Pengolahan data yang dilakukan sudah baik dan dilakukan dengan cepat.,Registrar Office,2024
id,3.0,-,Registrar Office,2024
id,3.0,.,Registrar Office,2024
id,3.0,-,Registrar Office,2024
id,3.0,Disarankan untuk lebih cepat membalas whatsapp. Thankyou,Registrar Office,2024
id,4.0,-,Registrar Office,2024
id,4.0,Sudah bagus terus lanjutkan,Registrar Office,2024
id,4.0,Untuk layanan Registirasi Office sangat membantu saya dalam proses mengola data karena kualitasnya sangat baik,Registrar Office,2024
id,3.0,-,Registrar Office,2024
id,3.0,"Menurut saya sudah baik, dan komukatif",Registrar Office,2024
id,4.0,sangat membantu,Registrar Office,2024
id,3.0,Sudah cukup,Registrar Office,2024
id,4.0,_,Registrar Office,2024
id,3.0,Tingkatkan lagi pelayanannya,Registrar Office,2024
id,2.0,Sudah cukup baik,Registrar Office,2024
id,3.0,Cukup baik,Registrar Office,2024
id,4.0,Sejauh ini layanan registar office sangat bermanfaat dan saya sangat puas menggunkaannya,Registrar Office,2024
id,3.0,Sangat bagus,Registrar Office,2024
id,3.0,Sudah cukup,Registrar Office,2024
id,4.0,-,Registrar Office,2024
id,3.0,Mungkin saat proses harus cepat,Registrar Office,2024
id,2.0,slow respon terkadang,Registrar Office,2024
id,2.0,-,Registrar Office,2024
id,3.0,tidak ada,Registrar Office,2024
id,3.0,lebih fast respon,Registrar Office,2024
